№,"item_name","ingredient_name","dosage_and_unit","pharmaceutical_form","packaging","packaging_qty","company","wholesale_price","sale_price","submitted_at"
4855,LANTOROL,LANSOPRAZOLE,30 mq,Kapsul,Blister,28,"VÖRLD MEDİSİN İLAÇ SAN VE TİC AŞ / BİOFARMA İLAÇ SAN VE TİC AŞ,
Türkiyə",8.51,10.21,29.11.2016
4856,LANTUS,INSULIN GLARGINE,100 IU/ml,İnyeksiya üçün məhlul,Katric 3 ml,5,"SANOFİ AVENTİS DOYÇLAND GMBH, Almaniya",82.37,97.82,29.11.2016
4857,LANTUS SOLOSTAR,INSULIN GLARGINE,100 IU/ml,İnyeksiya üçün məhlul,Qələm 3 ml,5,"SANOFİ AVENTİS DOYÇLAND GMBH, Almaniya",83.69,99.32,29.11.2016
4858,LANZOL,LANSOPRAZOLE,30 mq,Kapsul,Blister,28,"NATKO FARMA LTD, Hindistan",5.33,6.40,29.11.2016
4859,LANZOL,LANSOPRAZOLE,30 mq,Kapsul,Blister,28,"RAFARM SA, Yunanıstan",8.51,10.21,29.11.2016
4860,LAPRİNAL PLYUS,ENALAPRIL MALEATE + HYDROCHLOROTHIAZIDE,(10 + 25) mq,Tablet,Blister,30,"ROEMMERS SAİCF, Argentina",5.56,6.67,29.11.2016
4861,LARGO,BISOPROLOL FUMARATE,"2,5 mq",Tablet,Blister,30,"BİOFARMA İLAÇ SAN VE TİC AŞ, Türkiyə",3.77,4.52,29.11.2016
4862,LARGO,BISOPROLOL FUMARATE,5 mq,Tablet,Blister,30,"BİOFARMA İLAÇ SAN VE TİC AŞ, Türkiyə",2.51,3.01,29.11.2016
4863,LARGO,BISOPROLOL FUMARATE,10 mq,Tablet,Blister,30,"BİOFARMA İLAÇ SAN VE TİC AŞ, Türkiyə",4.86,5.83,29.11.2016
4864,LASERAN H,RAMIPRIL + HYDROCHLOROTHIAZIDE,"(2,5 + 12,5) mq",Tablet,Blister,28,"SAN FARMASYUTİKALS LTD, Hindistan",2.67,3.20,09.12.2017
4865,LASERAN H,RAMIPRIL + HYDROCHLOROTHIAZIDE,(5 + 25) mq,Tablet,Blister,28,"SAN FARMASYUTİKALS LTD, Hindistan",4.71,5.65,09.12.2017
4866,LASOPROL 30,LANSOPRAZOLE,30 mq,Kapsul,Blister,14,"DELORBİS FARMASYUTİKALS LTD, Kipr",5.48,6.58,29.11.2016
4867,LASSEN,PHOSPHOLIPIDS,50 mq/ml,İnyeksiya üçün məhlul,Ampul 5 ml,5,"FARMAK İSC, Ukrayna",11.17,13.40,29.11.2016
4868,LASSEN,PHOSPHOLIPIDS,50 mq/ml,İnyeksiya üçün məhlul,Ampul 5 ml,10,"FARMAK İSC, Ukrayna",22.35,26.82,29.11.2016
4869,LATAMED,LATANOPROST + TIMOLOL,"(0,05 + 5) mq/ml",Göz üçün damcı,"Flakon 2,5 ml",1,"İDOL İLAÇ DOLUM SAN VE TİC AŞ, Türkiyə",13.85,16.62,29.11.2016
4870,LATASOPT,LATANOPROST,50 mkq/ml,Göz üçün damcı,"Flakon 2,5 ml",1,"ROMFARM KOMPANİ SRL, Rumıniya",10.03,12.04,29.11.2016
4871,LATASOPT,LATANOPROST,50 mkq/ml,Göz üçün damcı,"Flakon 2,5 ml",1,"VÖRLD MEDİSİN İLAÇ SAN VE TİC AŞ / İDOL İLAÇ DOLUM SAN VE TİC AŞ,
Türkiyə",10.03,12.04,29.11.2016
4872,LATİKORT,HYDROCORTISONE BUTYRATE,1 mq/q,Məlhəm,Tub 15 q,1,"JELFA ƏCZAÇILIQ MÜƏSSİSƏSİ SC, Polşa",3.10,3.72,29.11.2016
4873,"LATİKORT 0,1%",HYDROCORTISONE BUTYRATE,1 mq/q,Krem,Tub 15 q,1,"JELFA ƏCZAÇILIQ MÜƏSSİSƏSİ SC, Polşa",3.10,3.72,29.11.2016
4874,LATREN,PENTOXIFYLLINE,"0,5 mq/ml",İnfuziya üçün məhlul,Flakon 100 ml,1,"YURİYA-FARM MMC, Ukrayna",2.51,3.01,29.11.2016
4875,LATREN,PENTOXIFYLLINE,"0,5 mq/ml",İnfuziya üçün məhlul,Flakon 200 ml,1,"YURİYA-FARM MMC, Ukrayna",5.02,6.02,29.11.2016
4876,LATREN,PENTOXIFYLLINE,"0,5 mq/ml",İnfuziya üçün məhlul,Flakon 400 ml,1,"YURİYA-FARM MMC, Ukrayna",9.95,11.94,29.11.2016
4877,LATRİQAL,LAMOTRIGINE,25 mq,Çeynənilən / həllolan tablet,Blister,30,"MERKEZ LABORATUARI İLAÇ SAN VE TİC AŞ, Türkiyə",6.90,8.28,29.11.2016
4878,LATRİQAL,LAMOTRIGINE,50 mq,Çeynənilən / həllolan tablet,Blister,30,"MERKEZ LABORATUARI İLAÇ SAN VE TİC AŞ, Türkiyə",12.44,14.93,29.11.2016
4879,LATRİQAL,LAMOTRIGINE,100 mq,Çeynənilən / həllolan tablet,Blister,30,"MERKEZ LABORATUARI İLAÇ SAN VE TİC AŞ, Türkiyə",22.01,26.41,29.11.2016
4880,LATRİQAL,LAMOTRIGINE,200 mq,Çeynənilən / həllolan tablet,Blister,30,"MERKEZ LABORATUARI İLAÇ SAN VE TİC AŞ, Türkiyə",38.57,46.28,29.11.2016
4881,LAVENUM,HEPARIN SODIUM,1000 IU/q,Gel,Tub 30 q,1,"SİNTEZ DƏRMAN VƏ TİBB VASİTƏLƏRİNİN KURQAN ASC, Rusiya",2.55,3.06,29.11.2016
4882,LAVOMAKS,TILORONE,125 mq,Tablet,Blister,6,"NİJFARM ASC, Rusiya",13.58,16.30,29.11.2016
4883,LAVOMAKS,TILORONE,125 mq,Tablet,Blister,10,"NİJFARM ASC, Rusiya",22.51,27.01,29.11.2016
4884,LAYFSEL,MENOTROPIN (HUMAN MENOPAUSAL GONADOTROPIN),75 IU,İnyeksiya məhlulu üçün toz,Flakon + Ampulda həlledici 1 ml,1,"İBSA İNSTİTUT BİOXİMİK SA, İsveçrə",27.13,32.56,29.11.2016
4885,LAYFSEL,MENOTROPIN (HUMAN MENOPAUSAL GONADOTROPIN),75 IU,İnyeksiya məhlulu üçün toz,Flakon + Ampulda həlledici 1 ml,1,"İBSA FARMASYUTİÇİ İTALİYA SRL, İtaliya",24.69,29.63,29.11.2016
4886,LAYFSEL,MENOTROPIN (HUMAN MENOPAUSAL GONADOTROPIN),75 IU,İnyeksiya məhlulu üçün toz,Flakon + Ampulda həlledici 1 ml,10,"İBSA İNSTİTUT BİOXİMİK SA, İsveçrə",246.17,280.62,29.11.2016
4887,LAYFSEL,MENOTROPIN (HUMAN MENOPAUSAL GONADOTROPIN),75 IU,İnyeksiya məhlulu üçün toz,Flakon + Ampulda həlledici 1 ml,10,"İBSA FARMASYUTİÇİ İTALİYA SRL, İtaliya",224.64,256.72,29.11.2016
4888,LAYLENON,EPLERENONE,25 mq,Tablet,Blister,30,"SİNTON BV, İspaniya",40.84,49.01,29.11.2016
4889,LAYLENON,EPLERENONE,25 mq,Tablet,Blister,30,"SİNTON BV, Niderland",40.84,49.01,29.11.2016
4890,LAYLENON,EPLERENONE,50 mq,Tablet,Blister,30,"SİNTON BV, İspaniya",47.22,56.66,29.11.2016
4891,LAYLENON,EPLERENONE,50 mq,Tablet,Blister,30,"SİNTON BV, Niderland",47.22,56.66,29.11.2016
4892,LAYNET,TETRYZOLINE HCL,"0,5 mq/ml",Göz üçün damcı,Flakon 15 ml,1,"ROMFARM KOMPANİ SRL, Rumıniya",4.49,5.39,29.11.2016
4893,LAZİKS,FUROSEMIDE,10 mq/ml,İnyeksiya üçün məhlul,Ampul 2 ml,10,"SANOFİ İNDİA LTD, Hindistan",2.27,2.72,29.11.2016
4894,LAZOKSOL BEYBİ,AMBROXOL HCL,3 mq/ml,Şərbət,Flakon 125 ml,1,"ANFARM HELLAS SA, Yunanıstan",4.02,4.82,29.11.2016
4895,LAZOLVAN,AMBROXOL HCL,30 mq,Tablet,Blister,20,"BERİNGER İNGELHEİM ELLAS AE, Yunanıstan",3.89,4.67,29.11.2016
4896,LAZOLVAN,AMBROXOL HCL,30 mq,Tablet,Blister,20,"BERİNGER İNGELHEİM FARMA GMBH VƏ KO KG, Almaniya",3.89,4.67,29.11.2016
4897,LAZOLVAN,AMBROXOL HCL,30 mq,Tablet,Blister,50,"BERİNGER İNGELHEİM ELLAS AE, Yunanıstan",6.93,8.32,29.11.2016
4898,LAZOLVAN,AMBROXOL HCL,30 mq,Tablet,Blister,50,"BERİNGER İNGELHEİM FARMA GMBH VƏ KO KG, Almaniya",6.93,8.32,29.11.2016
4899,LAZOLVAN,AMBROXOL HCL,3 mq/ml,Şərbət,Flakon 100 ml,1,"BERİNGER İNGELHEİM ELLAS AE, Yunanıstan",4.87,5.84,29.11.2016
4900,LAZOLVAN,AMBROXOL HCL,3 mq/ml,Şərbət,Flakon 100 ml,1,"BERİNGER İNGELHEİM ESPANA SA, İspaniya",4.87,5.84,29.11.2016
4901,LAZOLVAN,AMBROXOL HCL,6 mq/ml,Şərbət,Flakon 100 ml,1,"BERİNGER İNGELHEİM ELLAS AE, Yunanıstan",4.84,5.81,29.11.2016
4902,LAZOLVAN,AMBROXOL HCL,6 mq/ml,Şərbət,Flakon 100 ml,1,"BERİNGER İNGELHEİM ESPANA SA, İspaniya",4.84,5.81,29.11.2016
4903,LAZOLVAN,AMBROXOL HCL,"7,5 mq/ml",İnhalyasiya üçün məhlul,Flakon 100 ml,1,"İSTİTUTO DE ANGELİ SRL, İtaliya",8.47,10.16,29.11.2016
4904,LEBEL,LEVOFLOXACIN,500 mq,Tablet,Blister,7,"NOBEL İLAÇ SAN VE TİC AŞ, Türkiyə",9.48,11.38,29.11.2016
4905,LEBEL,LEVOFLOXACIN,750 mq,Tablet,Blister,7,"NOBEL İLAÇ SAN VE TİC AŞ, Türkiyə",15.00,18.00,29.11.2016
4906,LEBEL,LEVOFLOXACIN,5 mq/ml,İnfuziya üçün məhlul,Flakon 100 ml,1,"İDOL İLAÇ DOLUM SAN VE TİC AŞ, Türkiyə",13.52,16.22,29.11.2016
4907,LEFKAR,LEVOCARNITINE,200 mq/ml,İnyeksiya üçün məhlul,Ampul 5 ml,5,"MYUNGMOON FARMASEUTİKAL KO LTD, Cənubi Koreya",4.93,5.92,29.11.2016
4908,LEFLOBAKT,LEVOFLOXACIN,500 mq,Tablet,Blister,10,"SİNTEZ DƏRMAN VƏ TİBB VASİTƏLƏRİNİN KURQAN ASC, Rusiya",11.25,13.50,29.11.2016
4909,LEGEND,ADEMETIONINE,80 mq/ml,İnyeksiya məhlulu üçün liofilizat,Flakon + Ampulda həlledici 5 ml,5,"BİOMEDİKA FOSKAMA SPA, İtaliya",41.58,49.90,29.11.2016
4910,LEGİNİN,LEVOFLOXACIN,5 mq/ml,İnfuziya üçün məhlul,Flakon 100 ml,1,"MYUNGMOON FARMASEUTİKAL KO LTD, Cənubi Koreya",13.52,16.22,29.11.2016
4911,LEKOKLAR,CLARITHROMYCIN,250 mq,Tablet,Blister,14,"SANDOZ SRL, Rumıniya",6.24,7.49,29.11.2016
4912,LEKOKLAR,CLARITHROMYCIN,250 mq,Tablet,Blister,14,"LEK FARMASYUTİKALS DD, Sloveniya",6.24,7.49,29.11.2016
4913,LEKOKLAR,CLARITHROMYCIN,500 mq,Tablet,Blister,14,"SANDOZ SRL, Rumıniya",10.87,13.04,29.11.2016
4914,LEKOKLAR,CLARITHROMYCIN,500 mq,Tablet,Blister,14,"LEK FARMASYUTİKALS DD, Sloveniya",10.87,13.04,29.11.2016
4915,LEKOKLAR,CLARITHROMYCIN,25 mq/ml,Suspenziya hazırlamaq üçün qranul,Flakon 60 ml,1,"SANDOZ SRL, Rumıniya",5.18,6.22,29.11.2016
4916,LEKOKLAR,CLARITHROMYCIN,50 mq/ml,Suspenziya hazırlamaq üçün qranul,Flakon 60 ml,1,"SANDOZ SRL, Rumıniya",10.51,12.61,29.11.2016
4917,LEKROLİN,SODIUM CROMOGLICATE,20 mq/ml,Göz üçün damcı,Flakon 10 ml,1,"SANTEN SC, Finlandiya",5.04,6.05,29.11.2016
4918,LEKROLİN,SODIUM CROMOGLICATE,40 mq/ml,Göz üçün damcı,Flakon 5 ml,1,"SANTEN SC, Finlandiya",5.76,6.91,29.11.2016
4919,LEKSASİN,LEVOFLOXACIN,5 mq/ml,İnfuziya üçün məhlul,Flakon 100 ml,1,"ROMFARM KOMPANİ SRL, Rumıniya",13.52,16.22,29.11.2016
4920,LEMOKSOL,CEFTAZIDIME,1000 mq,İnyeksiya məhlulu üçün toz,Flakon,1,"DEMO SA FARMASYUTİKAL İND, Yunanıstan",9.41,11.29,29.11.2016
4921,LENDASİN,CEFTRIAXONE,1000 mq,İnyeksiya məhlulu üçün toz,Flakon,1,"SANDOZ GMBH, Avstriya",6.24,7.49,29.11.2016
4922,LENDASİN,CEFTRIAXONE,1000 mq,İnyeksiya məhlulu üçün toz,Flakon,1,"LEK FARMASYUTİKALS DD, Sloveniya",4.59,5.51,29.11.2016
4923,LENDASİN,CEFTRIAXONE,1000 mq,İnyeksiya məhlulu üçün toz,Flakon,5,"SANDOZ GMBH, Avstriya",31.02,37.22,29.11.2016
4924,LENDASİN,CEFTRIAXONE,1000 mq,İnyeksiya məhlulu üçün toz,Flakon,5,"LEK FARMASYUTİKALS DD, Sloveniya",22.87,27.44,29.11.2016
4925,LENDASİN,CEFTRIAXONE,1000 mq,İnyeksiya məhlulu üçün toz,Flakon,10,"SANDOZ GMBH, Avstriya",61.79,74.15,29.11.2016
4926,LENDASİN,CEFTRIAXONE,1000 mq,İnyeksiya məhlulu üçün toz,Flakon,10,"LEK FARMASYUTİKALS DD, Sloveniya",45.27,54.32,29.11.2016
4927,LENZETTO,ESTRADIOL,"1,53 mq/doza",Sprey,"Flakon 8,1 ml
(56 doza)",1,"GEDEON RİXTER SC, Rumıniya",25.37,30.44,31.07.2018
4928,LEPANTO,PANTOPRAZOLE,40 mq,İnyeksiya məhlulu üçün liofilizat,Flakon,1,"SİRTON FARMASYUTİKALS SPA, İtaliya",8.25,9.90,29.11.2016
4929,LEPANTO,PANTOPRAZOLE,40 mq,İnyeksiya məhlulu üçün liofilizat,Flakon,1,"HİKMA FARMASYUTİKA SA, Portuqaliya",8.25,9.90,29.11.2016
4930,LEPANTO,PANTOPRAZOLE,40 mq,İnyeksiya məhlulu üçün liofilizat,Flakon,1,"VEM İLAÇ SAN VE TİC AŞ, Türkiyə",7.20,8.64,09.12.2017
4931,LEPANTO,PANTOPRAZOLE,40 mq,İnyeksiya məhlulu üçün liofilizat,Flakon,10,"HİKMA FARMASYUTİKA SA, Portuqaliya",77.56,92.39,29.11.2016
4932,LEPANTO,PANTOPRAZOLE,40 mq,İnyeksiya məhlulu üçün liofilizat,Flakon,10,"SİRTON FARMASYUTİKALS SPA, İtaliya",77.56,92.39,29.11.2016
4933,LEPANTO,PANTOPRAZOLE,40 mq,İnyeksiya məhlulu üçün liofilizat,Flakon,10,"VEM İLAÇ SAN VE TİC AŞ, Türkiyə",62.85,75.42,09.12.2017
4934,LEPONEKS,CLOZAPINE,25 mq,Tablet,Blister,50,"NOVARTİS FARMASYUTİKALS UK LTD, Birləşmiş Krallıq",13.36,16.03,29.11.2016
4935,LEPONEKS,CLOZAPINE,25 mq,Tablet,Blister,50,"NOVARTİS ÜRÜNLERİ, Türkiyə",9.99,11.99,29.11.2016
4936,LEPONEKS,CLOZAPINE,100 mq,Tablet,Blister,50,"NOVARTİS FARMASYUTİKALS UK LTD, Birləşmiş Krallıq",39.52,47.42,29.11.2016
4937,LEPONEKS,CLOZAPINE,100 mq,Tablet,Blister,50,"NOVARTİS ÜRÜNLERİ, Türkiyə",29.20,35.04,29.11.2016
4938,LEQALON,SILYMARIN,70 mq,Kapsul,Blister,20,"MADAUS GMBH, Almaniya",4.71,5.65,29.11.2016
4939,LEQALON,SILYMARIN,70 mq,Kapsul,Blister,30,"MADAUS GMBH, Almaniya",5.82,6.98,29.11.2016
4940,LEQALON,SILYMARIN,70 mq,Kapsul,Blister,60,"MADAUS GMBH, Almaniya",10.97,13.16,29.11.2016
4941,LEQALON,SILYMARIN,140 mq,Kapsul,Blister,20,"MADAUS GMBH, Almaniya",9.74,11.69,29.11.2016
4942,LEQALON,SILYMARIN,140 mq,Kapsul,Blister,30,"MADAUS GMBH, Almaniya",10.33,12.40,29.11.2016
4943,LEQALON,SILYMARIN,140 mq,Kapsul,Blister,60,"MADAUS GMBH, Almaniya",20.48,24.58,29.11.2016
4944,LEQALON,SILYMARIN,140 mq,Kapsul,Blister,100,"MADAUS GMBH, Almaniya",32.72,39.26,29.11.2016
4945,LEQALON SİL,"SILIBININ-C-2, 3-DIHYDROGENSUCCINATE, DISODIUM SALT","528,5 mq",İnfuziya məhlulu üçün toz,Flakon 50 ml,4,"VASERBURGER ARZNEİMİTTEL GMBH / BAG HELSKEA GMBH, Almaniya",597.35,670.43,29.11.2016
4946,LEQALON SİL,"SILIBININ-C-2, 3-DIHYDROGENSUCCINATE, DISODIUM SALT","528,5 mq",İnfuziya məhlulu üçün toz,Flakon 100 ml,4,"VASERBURGER ARZNEİMİTTEL GMBH / BAG HELSKEA GMBH, Almaniya",597.35,670.43,29.11.2016
4947,LEQAR,AZITHROMYCIN,500 mq,İnfuziya məhlulu üçün liofilizat,Flakon,1,"ANFARM HELLAS SA, Yunanıstan",19.44,23.33,29.11.2016
4948,LERKAMEN,LERCANIDIPINE HCL,10 mq,Tablet,Blister,7,"BERLİN-XEMİ AG, Almaniya",5.28,6.34,29.11.2016
4949,LERKAMEN,LERCANIDIPINE HCL,10 mq,Tablet,Blister,14,"BERLİN-XEMİ AG, Almaniya",10.46,12.55,29.11.2016
4950,LERKAMEN,LERCANIDIPINE HCL,10 mq,Tablet,Blister,28,"BERLİN-XEMİ AG, Almaniya",13.97,16.76,29.11.2016
4951,LERKAMEN,LERCANIDIPINE HCL,10 mq,Tablet,Blister,60,"BERLİN-XEMİ AG, Almaniya",24.29,29.15,29.11.2016
4952,LERKAMEN,LERCANIDIPINE HCL,10 mq,Tablet,Blister,90,"BERLİN-XEMİ AG, Almaniya",34.27,41.12,29.11.2016
4953,LERKAMEN,LERCANIDIPINE HCL,20 mq,Tablet,Blister,7,"BERLİN-XEMİ AG, Almaniya",10.46,12.55,29.11.2016
4954,LERKAMEN,LERCANIDIPINE HCL,20 mq,Tablet,Blister,14,"BERLİN-XEMİ AG, Almaniya",13.97,16.76,29.11.2016
4955,LERKAMEN,LERCANIDIPINE HCL,20 mq,Tablet,Blister,28,"BERLİN-XEMİ AG, Almaniya",18.82,22.58,29.11.2016
4956,LERKAMEN,LERCANIDIPINE HCL,20 mq,Tablet,Blister,60,"BERLİN-XEMİ AG, Almaniya",39.22,47.06,29.11.2016
4957,LERKAMEN,LERCANIDIPINE HCL,20 mq,Tablet,Blister,90,"BERLİN-XEMİ AG, Almaniya",58.27,69.92,29.11.2016
4958,LEROKAM,AMIKACIN,50 mq/ml,İnyeksiya üçün məhlul,Ampul 2 ml,5,"REYANQ FARMASYUTİKAL KO LTD, Çin",4.52,5.42,29.11.2016
4959,LEROKAM,AMIKACIN SULFATE,250 mq/ml,İnyeksiya üçün məhlul,Ampul 2 ml,5,"REYANQ FARMASYUTİKAL KO LTD, Çin",13.94,16.73,29.11.2016
4960,LESETRİN,LEVOCETIRIZINE HCL,5 mq,Tablet,Blister,10,"İLKO İLAÇ SAN VE TİC AŞ, Türkiyə",2.04,2.45,29.11.2016
4961,LESETRİN,LEVOCETIRIZINE HCL,5 mq,Tablet,Blister,20,"İLKO İLAÇ SAN VE TİC AŞ, Türkiyə",4.08,4.90,29.11.2016
4962,LESKOL XL,FLUVASTATIN,80 mq,Tablet,Blister,28,"NOVARTİS FARMASYUTİKA SA, İspaniya",11.47,13.76,29.11.2016
4963,LESPEFRİL,LESPEDEZA BICOLOR,7080 mq/ml,Məhlul,Flakon 100 ml,1,"VİFİTEX QSC, Rusiya",7.08,8.50,18.05.2018
4964,LETİRAM,LEVETIRACETAM,250 mq,Tablet,Blister,30,"REMEDİKA LTD, Kipr",8.74,10.49,29.11.2016
4965,LETİRAM,LEVETIRACETAM,250 mq,Tablet,Blister,60,"REMEDİKA LTD, Kipr",14.42,17.30,29.11.2016
4966,LETİRAM,LEVETIRACETAM,500 mq,Tablet,Blister,30,"REMEDİKA LTD, Kipr",18.40,22.08,29.11.2016
4967,LETİRAM,LEVETIRACETAM,500 mq,Tablet,Blister,60,"REMEDİKA LTD, Kipr",26.29,31.55,29.11.2016
4968,LETİRAM,LEVETIRACETAM,750 mq,Tablet,Blister,30,"REMEDİKA LTD, Kipr",25.79,30.95,29.11.2016
4969,LETİRAM,LEVETIRACETAM,1000 mq,Tablet,Blister,30,"REMEDİKA LTD, Kipr",37.56,45.07,29.11.2016
4970,LETİRAM,LEVETIRACETAM,1000 mq,Tablet,Blister,60,"REMEDİKA LTD, Kipr",50.42,60.50,29.11.2016
4971,LETROZOL,LETROZOLE,"2,5 mq",Tablet,Blister,30,"NOVARTİS FARMA ŞTEYN AG, İsveçrə",74.68,89.13,29.11.2016
4972,LEUKOVORİN TEVA,CALCIUM FOLINATE,10 mq/ml,İnyeksiya üçün məhlul,Flakon 5 ml,1,"TEVA FARMASYUTİKAL SC, Macarıstan",6.69,8.03,29.11.2016
4973,LEUKOVORİN TEVA,CALCIUM FOLINATE,10 mq/ml,İnyeksiya üçün məhlul,Flakon 10 ml,1,"TEVA FARMASYUTİKAL SC, Macarıstan",13.35,16.02,29.11.2016
4974,LEUKOVORİN TEVA,CALCIUM FOLINATE,10 mq/ml,İnyeksiya üçün məhlul,Flakon 20 ml,1,"TEVA FARMASYUTİKAL SC, Macarıstan",26.74,32.09,29.11.2016
4975,LEUKOVORİN TEVA,CALCIUM FOLINATE,10 mq/ml,İnyeksiya üçün məhlul,Flakon 30 ml,1,"TEVA FARMASYUTİKAL SC, Macarıstan",39.99,47.99,29.11.2016
4976,LEUKOVORİN TEVA,CALCIUM FOLINATE,10 mq/ml,İnyeksiya üçün məhlul,Flakon 50 ml,1,"TEVA FARMASYUTİKAL SC, Macarıstan",66.75,80.10,29.11.2016
4977,LEUPRORELİN SANDOZ,LEUPRORELIN,"3,6 mq",İnyeksiya üçün məhlul,Şpris,1,"EVER FARMA JENA GMBH, Almaniya",179.74,206.88,29.11.2016
4978,LEUPRORELİN SANDOZ,LEUPRORELIN,"3,6 mq",İnyeksiya üçün məhlul,Şpris,1,"EBEVE FARMA GMBH NFG KG, Avstriya",179.74,206.88,29.11.2016
4979,LEUPRORELİN SANDOZ,LEUPRORELIN,"3,6 mq",İnyeksiya üçün məhlul,Şpris,3,"EVER FARMA JENA GMBH, Almaniya",520.43,585.05,29.11.2016
4980,LEUPRORELİN SANDOZ,LEUPRORELIN,"3,6 mq",İnyeksiya üçün məhlul,Şpris,3,"EBEVE FARMA GMBH NFG KG, Avstriya",520.43,585.05,29.11.2016
4981,LEUPRORELİN SANDOZ,LEUPRORELIN,"3,6 mq",İnyeksiya üçün məhlul,Şpris,6,"EVER FARMA JENA GMBH, Almaniya",1031.47,1152.30,29.11.2016
4982,LEUPRORELİN SANDOZ,LEUPRORELIN,"3,6 mq",İnyeksiya üçün məhlul,Şpris,6,"EBEVE FARMA GMBH NFG KG, Avstriya",1031.47,1152.30,29.11.2016
4983,LEUPRORELİN SANDOZ,LEUPRORELIN,5 mq,İnyeksiya üçün məhlul,Şpris,1,"EVER FARMA JENA GMBH, Almaniya",246.40,280.87,24.05.2017
4984,LEUPRORELİN SANDOZ,LEUPRORELIN,5 mq,İnyeksiya üçün məhlul,Şpris,1,"EBEVE FARMA GMBH NFG KG, Avstriya",246.40,280.87,24.05.2017
4985,LEUPRORELİN SANDOZ,LEUPRORELIN,5 mq,İnyeksiya üçün məhlul,Şpris,2,"EVER FARMA JENA GMBH, Almaniya",499.43,561.74,24.05.2017
4986,LEUPRORELİN SANDOZ,LEUPRORELIN,5 mq,İnyeksiya üçün məhlul,Şpris,2,"EBEVE FARMA GMBH NFG KG, Avstriya",499.43,561.74,24.05.2017
4987,LEUPRORELİN SANDOZ,LEUPRORELIN,5 mq,İnyeksiya üçün məhlul,Şpris,3,"EVER FARMA JENA GMBH, Almaniya",752.46,842.60,24.05.2017
4988,LEUPRORELİN SANDOZ,LEUPRORELIN,5 mq,İnyeksiya üçün məhlul,Şpris,3,"EBEVE FARMA GMBH NFG KG, Avstriya",752.46,842.60,24.05.2017
4989,LEUPRORELİN SANDOZ,LEUPRORELIN,5 mq,İnyeksiya üçün məhlul,Şpris,10,"EVER FARMA JENA GMBH, Almaniya",2523.68,2808.65,24.05.2017
4990,LEUPRORELİN SANDOZ,LEUPRORELIN,5 mq,İnyeksiya üçün məhlul,Şpris,10,"EBEVE FARMA GMBH NFG KG, Avstriya",2523.68,2808.65,24.05.2017
4991,LEVADİDOZ,LEVOFLOXACIN,5 mq/ml,İnfuziya üçün məhlul,Flakon 100 ml,1,"MEFAR İLAÇ SAN AŞ, Türkiyə",13.52,16.22,18.05.2018
4992,LEVAKSELA,LEVOFLOXACIN,250 mq,Tablet,Blister,5,"KRKA DD, Sloveniya",9.12,10.94,09.12.2017
4993,LEVAKSELA,LEVOFLOXACIN,250 mq,Tablet,Blister,7,"KRKA DD, Sloveniya",10.57,12.68,09.12.2017
4994,LEVAKSELA,LEVOFLOXACIN,250 mq,Tablet,Blister,10,"KRKA DD, Sloveniya",10.57,12.68,09.12.2017
4995,LEVAKSELA,LEVOFLOXACIN,250 mq,Tablet,Blister,14,"KRKA DD, Sloveniya",14.79,17.75,09.12.2017
4996,LEVAKSELA,LEVOFLOXACIN,500 mq,Tablet,Blister,5,"KRKA DD, Sloveniya",8.31,9.97,09.12.2017
4997,LEVAKSELA,LEVOFLOXACIN,500 mq,Tablet,Blister,7,"KRKA DD, Sloveniya",9.48,11.38,09.12.2017
4998,LEVAKSELA,LEVOFLOXACIN,500 mq,Tablet,Blister,10,"KRKA DD, Sloveniya",14.27,17.12,09.12.2017
4999,LEVAKSELA,LEVOFLOXACIN,500 mq,Tablet,Blister,14,"KRKA DD, Sloveniya",18.99,22.79,09.12.2017
5000,LEVAKSELA,LEVOFLOXACIN,5 mq/ml,İnfuziya üçün məhlul,Flakon 100 ml,1,"KRKA DD, Sloveniya",13.52,16.22,31.07.2018
5001,LEVAKSELA,LEVOFLOXACIN,5 mq/ml,İnfuziya üçün məhlul,Flakon 100 ml,5,"KRKA DD, Sloveniya",67.58,81.10,06.10.2018
5002,LEVAKSELA,LEVOFLOXACIN,5 mq/ml,İnfuziya üçün məhlul,Flakon 100 ml,10,"KRKA DD, Sloveniya",139.49,162.20,06.10.2018
5003,LEVEBRAİN,LEVETIRACETAM,250 mq,Tablet,Blister,30,"VÖRLD MEDİSİN İLAÇ SAN VE TİC AŞ, Türkiyə",8.84,10.61,29.11.2016
5004,LEVEBRAİN,LEVETIRACETAM,250 mq,Tablet,Blister,50,"VÖRLD MEDİSİN İLAÇ SAN VE TİC AŞ, Türkiyə",14.36,17.23,29.11.2016
5005,LEVEBRAİN,LEVETIRACETAM,500 mq,Tablet,Blister,30,"VÖRLD MEDİSİN İLAÇ SAN VE TİC AŞ, Türkiyə",18.83,22.60,29.11.2016
5006,LEVEBRAİN,LEVETIRACETAM,500 mq,Tablet,Blister,50,"VÖRLD MEDİSİN İLAÇ SAN VE TİC AŞ, Türkiyə",21.72,26.06,29.11.2016
5007,LEVEBRAİN,LEVETIRACETAM,1000 mq,Tablet,Blister,30,"VÖRLD MEDİSİN İLAÇ SAN VE TİC AŞ, Türkiyə",37.28,44.74,29.11.2016
